Чек-лист и результаты выполнения тестов: тестирование вёрстки формы бронирования для тарифа "Роскошный"				
				
№	Описание проверки	Статус Окружение Яндекс.Браузер Версия 22.5.0.1816 Разрешение 800х600 ОС Windows 10 Домашняя	Статус Окружение Firefox Browser Версия 100.0.1 Разрешение 1920x1080 ОС Windows 10 Домашняя	Ссылка на баг-репорт
8.6.1	сообщение системы, прошли ли документы верификацию, через 30 секунд 	SKIPPED	SKIPPED	Функция отсетствует в текущей реализации
8.6.2	если документы прошли верификацию, рамка поля подсвечивается зелёным	PASSED	PASSED	
8.6.3	если документы прошли верификацию, у правого края внутри поля появляется зелёная галочка	FAILED	FAILED	https://tracker.yandex.ru/BUG-593589
8.6.4	если документы прошли верификацию, пользователь больше не сможет редактировать данные водительского удостоверения	PASSED	PASSED	
8.6.5	если документы не прошли верификацию, рамка поля подсвечивается красным 	SKIPPED	SKIPPED	Функция отсетствует в текущей реализации
8.6.6	если документы не прошли верификацию, у правого края внутри поля появляется красный крестик	SKIPPED	SKIPPED	Функция отсетствует в текущей реализации
8.6.7	если документы не прошли верификацию в открывшейся форме "Добавление прав" — текст сообщения: "Ваши документы не прошли верификацию. Попробуйте ещё раз"	SKIPPED	SKIPPED	Функция отсетствует в текущей реализации
9	Поле "Способ оплаты"	PASSED	PASSED	
9.1	поле с фоном белого цвета	PASSED	PASSED	
9.2	поле имеет рамку серого цвета	PASSED	PASSED	
9.3	края поля закруглены	PASSED	PASSED	
9.4	надпись по левому краю поля "Способ олаты"	PASSED	PASSED	
9.4.1	надпись "Способ оплаты" серого цвета	PASSED	PASSED	
9.5	надпись "Добавить" 	PASSED	PASSED	
9.5.1	надпись "Добавить" серого цвета	PASSED	PASSED	
9.6	картинка банковской карты - локализация после надписи "Добавить"	PASSED	PASSED	
9.7	надпись "Добавить"и картинка банковской карты выравнены по правому краю			
9.8	после заполнения данных в форме всплывающего окна появляется окно с подтверждением, что карта добавлена	PASSED	PASSED	
9.8.1	отображаются последние 4 цифры номера карты	FAILED	FAILED	https://tracker.yandex.ru/BUG-593303
9.9	надпись "Добавить" меняется на надпись "Карта" 	PASSED	PASSED	
9.9.1	надпись "Катра" серого цвета	PASSED	PASSED	
9.9.2	надпись "Способ оплаты" меняет цвет на черный	PASSED	PASSED	
10	Панель "Требования к заказу" с выпадающим списком	PASSED	PASSED	
10.1	при выборе тарифа "Роскошный" выпадающий список панели "Требования к заказу" раскрыт	PASSED	PASSED	
10.2	панель с фоном серого цвета	PASSED	PASSED	
10.3	края панели закруглены	PASSED	PASSED	
10.4	надпись "Требования к заказу" серого цвета	PASSED	PASSED	
10.4.1	надпись "Требования к заказу" выровнена по левому краю	PASSED	PASSED	
10.5	стрелка указывающая вниз, когда панель закрыта	PASSED	PASSED	
10.5.1	стрелка указывающая вверх, когда панель открыта	PASSED	PASSED	
10.5.2	стрелка выровнена по правому краю	PASSED	PASSED	
10.6	содержимое панели визуально поделено на блоки с помощью серых линий	PASSED	PASSED	
10.7	верхний блок - чекбокс с надписью "Светомузыка"	PASSED	PASSED	
10.7.1	надпись "Светомузыка" черного цвета	PASSED	PASSED	
10.7.2	надпись "Светомузыка" выровнена по левому краю	PASSED	PASSED	
10.7.3	чекбокс выровнен по правому краю	PASSED	PASSED	
10.7.4	в выбраном состоянии чекбокс синего цвета	PASSED	PASSED	
10.7.5	в невыбраном состоянии чекбокс серого цвета	PASSED	PASSED	
10.8	средний блок - радиокнопка "Развлечься"	FAILED	FAILED	https://tracker.yandex.ru/BUG-593626
10.8.1	надпись "Развлечся" черного цвета	PASSED	PASSED	
10.8.2	надпись "Развлечся" полужирного шрифта	PASSED	PASSED	
10.8.3	надпись "Развлечся" выровнена по левому краю	PASSED	PASSED	
10.8.4	можно выбрать только один вариант: "Шампанское для пассажиров" или "Вино для пассажиров"	FAILED	FAILED	https://tracker.yandex.ru/BUG-593634
10.8.5	радиокнопка выровнена по правому краю	SKIPPED	SKIPPED	https://tracker.yandex.ru/BUG-593626
10.8.6	радиокнопка подсвечивается синим напротив выбранного варианта	SKIPPED	SKIPPED	https://tracker.yandex.ru/BUG-593626
10.8.7	радиокнопка остается серой если вариант не выбран	SKIPPED	SKIPPED	https://tracker.yandex.ru/BUG-593626
10.8.8	надпись "Шампанское для пассажиров" черного цвета	PASSED	PASSED	
10.8.9	надпись "Шампанское для пассажиров" выровнена с отступом по левому краю	PASSED	PASSED	
10.8.10	надпись "Вино для пассажиров" черного цвета	PASSED	PASSED	
10.8.11	надпись "Вино для пассажиров" выровнена с отступом по левому краю	PASSED	PASSED	
10.9	нижний блок - счетчик "Очки для крутоты"	PASSED	PASSED	
10.9.1	надпись "Очки для крутоты" серого цвета	PASSED	PASSED	
10.9.2	выровнена по левому краю	PASSED	PASSED	
10.9.3	счетчик выровнен по правому краю	PASSED	PASSED	
10.9.4	счетчик имеет серый фон	PASSED	PASSED	
10.9.5	цифры счетчика черного цвета	PASSED	PASSED	
10.9.6	элементы "+" и "-" серые в неактивном и черные в активном состоянии	PASSED	PASSED	
10.10	полоса прокрутки по правому краю	PASSED	PASSED	
11	Кнопка «Забронировать»	PASSED	PASSED	
11.1	кнопка синего цвета с белой надписью	PASSED	PASSED	
11.2	кнопка закреплена в левом нижнем углу экрана	PASSED	PASSED	
11.3	"если все обязательные поля и адреса заполнены на кнопке появляется надпись ""Забронировать
Маршрут составит .. км и займет .. мин"""	PASSED	PASSED	
11.4	"если все обязательные поля и адреса заполнены, кроме прав, на кнопке появляется надпись ""Добавить права и забронировать
Маршрут составит .. км и займет .. мин"""	FAILED	FAILED	https://tracker.yandex.ru/BUG-594524
11.5	если все обязательные поля и адреса заполнены, кроме способа оплаты, на кнопке появляется надпись "Добавить оплату и забронировать Маршрут составит .. км и займет .. мин"	PASSED	PASSED	
11.6	если все обязательные  поля заполнены, адреса удалены, на кнопке появляется надпись "Забронировать"	FAILED	FAILED	https://tracker.yandex.ru/BUG-594530
11.7	обязательные поля не заполнены и адреса удалены, на кнопке появляется надпись "Добавить права и забронировать"	FAILED	FAILED	https://tracker.yandex.ru/BUG-594533
11.8	если пользователь корректно заполнил все поля и нажал кнопку «Забронировать», в центре экрана появится окно с заголовком «Машина забронирована». Внутри — марка, номер, иконка и адрес машины, а также стоимость поездки и таймер, который отсчитывает время бесплатного ожидания, а также кнопка "Отменить" для отмены бронирования.	PASSED	PASSED	
11.9	при отмене бронирования открывается окно с предложением подтвердить отмену бронирования "Вы уверены, что хотите отменить поездку?" и кнопками "Нет" "Да"	FAILED	FAILED	https://tracker.yandex.ru/BUG-595041
11.9.1	при подтверждении отмены бронирования открывается окно с надписью "Поездка отменена" и синей кнопкой "Принято"	SKIPPED	SKIPPED	https://tracker.yandex.ru/BUG-595041
12	Интерактивная карта	PASSED	PASSED	
12.1	система автоматически выбирает ту машину, которая находится ближе всего к пользователю	PASSED	PASSED	
12.2	иконка ближайшей машины увеличивается, над ней появляется чёрная плашка с маркой машины	FAILED	FAILED	https://tracker.yandex.ru/BUG-594544
12.2.1	остальные свободные машины продолжают отображаться на карте в виде иконок	PASSED	PASSED	
12.2.2	показываются автомобили всех тарифов	FAILED	FAILED	https://tracker.yandex.ru/BUG-594554 https://tracker.yandex.ru/BUG-594561
12.3	пользователь может выбрать нужную машину на карте и забронировать нажав на иконку	FAILED	FAILED	https://tracker.yandex.ru/BUG-594570
12.3.1	иконка увеличивается	SKIPPED	SKIPPED	https://tracker.yandex.ru/BUG-594570
12.3.2	над иконкой появляется чёрная плашка с маркой	SKIPPED	SKIPPED	https://tracker.yandex.ru/BUG-594570
12.3.3	на левой панели отображается обновлённая информация о машине	SKIPPED	SKIPPED	https://tracker.yandex.ru/BUG-594570
